Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,116.809998,117.485001,116.724998,116.794998,116.794998,0
2017-01-03,117.487999,118.593002,117.286003,117.495003,117.495003,0
2017-01-04,117.678001,118.176003,117.068001,117.658997,117.658997,0
2017-01-05,117.056,117.084999,115.292999,117.112999,117.112999,0
2017-01-06,115.318001,116.744003,115.263,115.264999,115.264999,0
2017-01-09,117.158997,117.524002,116.182999,117.150002,117.150002,0
2017-01-10,115.996002,116.333,115.203003,115.985001,115.985001,0
2017-01-11,115.875,116.834999,115.681,115.872002,115.872002,0
2017-01-12,115.055,115.219002,113.760002,115.098,115.098,0
2017-01-13,114.695999,115.388,114.283997,114.664001,114.664001,0
2017-01-16,114.262001,114.448997,113.695999,114.226997,114.226997,0
2017-01-17,114.125999,114.276001,112.739998,114.152,114.152,0
2017-01-18,112.907997,113.555,112.644997,112.877998,112.877998,0
2017-01-19,114.737999,115.521004,114.422997,114.762001,114.762001,0
2017-01-20,114.893997,115.370003,114.545998,114.980003,114.980003,0
2017-01-23,113.852997,114.036003,112.974998,113.809998,113.809998,0
2017-01-24,112.837997,113.468002,112.580002,112.779999,112.779999,0
2017-01-25,113.903,113.961998,113.083,113.839996,113.839996,0
2017-01-26,113.192001,114.767998,113.067001,113.292999,113.292999,0
2017-01-27,114.425003,115.335999,114.401001,114.455002,114.455002,0
2017-01-30,114.682999,114.915001,113.764,114.667999,114.667999,0
2017-01-31,113.694,113.931999,112.083,113.650002,113.650002,0
2017-02-01,112.767998,113.915001,112.767998,112.742996,112.742996,0
2017-02-02,113.242996,113.242996,112.077003,113.310997,113.310997,0
2017-02-03,112.778999,113.232002,112.323502,112.789001,112.789001,0
2017-02-06,112.647003,112.771004,112.028,112.639,112.639,0
2017-02-07,111.797997,112.558998,111.598999,111.827003,111.827003,0
2017-02-08,112.402,112.519997,111.649002,112.387001,112.387001,0
2017-02-09,111.955002,113.179001,111.903,111.952003,111.952003,0
2017-02-10,113.436996,113.839996,113.374001,113.433998,113.433998,0
2017-02-13,113.970001,114.135002,113.452003,113.914001,113.914001,0
2017-02-14,113.672997,114.432999,113.271004,113.705002,113.705002,0
2017-02-15,114.286003,114.941002,114.240997,114.301003,114.301003,0
2017-02-16,114.136002,114.136002,113.227997,114.112,114.112,0
2017-02-17,113.351997,113.483002,112.628998,113.305,113.305,0
2017-02-20,112.900002,113.232002,112.836998,112.911003,112.911003,0
2017-02-21,113.242996,113.753998,113.242996,113.279999,113.279999,0
2017-02-22,113.653999,113.653999,112.913002,113.668999,113.668999,0
2017-02-23,113.375,113.397003,112.577003,113.417,113.417,0
2017-02-24,112.676003,112.949997,112.064003,112.681999,112.681999,0
2017-02-27,112.174004,112.468002,111.934998,112.188004,112.188004,0
2017-02-28,112.734001,112.796997,111.783501,112.745003,112.745003,0
2017-03-01,113.033997,114.038002,112.814003,113.077003,113.077003,0
2017-03-02,114.097,114.536003,113.847,114.121002,114.121002,0
2017-03-03,114.322998,114.524002,114.074997,114.342003,114.342003,0
2017-03-06,113.823997,113.913002,113.560501,113.847,113.847,0
2017-03-07,113.916,114.140999,113.738998,113.917,113.917,0
2017-03-08,113.924004,114.716003,113.617996,113.926003,113.926003,0
2017-03-09,114.405998,114.947998,114.366997,114.411003,114.411003,0
2017-03-10,115.139,115.487999,114.815002,115.149002,115.149002,0
2017-03-13,114.775002,114.912003,114.483002,114.732002,114.732002,0
2017-03-14,114.913002,115.176003,114.560997,114.915001,114.915001,0
2017-03-15,114.653,114.880997,114.563499,114.658997,114.658997,0
2017-03-16,113.400002,113.528,112.919998,113.402,113.402,0
2017-03-17,113.348,113.489998,112.551498,113.339996,113.339996,0
2017-03-20,112.665001,112.884003,112.467003,112.674004,112.674004,0
2017-03-21,112.573997,112.858002,111.834,112.572998,112.572998,0
2017-03-22,111.563004,111.753998,110.764999,111.531998,111.531998,0
